,tsne1,tsne2,tsne3,class_encode,class,cluster
265,26.46572,-8.839242,6.8380356,3,Home Decor & Festive Needs,6
266,-0.008382569,-11.817635,-4.342477,5,Kitchen & Dining,3
267,0.4526905,-14.255453,-12.537091,5,Kitchen & Dining,3
268,-4.9277053,-18.518063,-5.501472,5,Kitchen & Dining,3
269,6.4332037,-6.6457944,3.958204,3,Home Decor & Festive Needs,3
270,15.751355,-9.853789,2.472011,3,Home Decor & Festive Needs,3
271,19.943083,-3.4434073,-9.964527,3,Home Decor & Festive Needs,6
272,34.225246,7.7578516,0.8203043,3,Home Decor & Festive Needs,6
273,-0.5223626,-11.87664,-9.106486,5,Kitchen & Dining,3
274,5.185907,-17.573978,-9.279313,5,Kitchen & Dining,3
275,2.9060621,2.5881069,-37.5316,0,Baby Care,2
276,-2.746314,10.597301,26.532518,6,Watches,5
277,0.83228254,-17.54873,27.872135,6,Watches,5
278,18.130617,-13.736174,23.757788,6,Watches,5
279,7.542195,-21.915651,28.916973,6,Watches,5
280,1.1856753,-21.870365,29.265251,6,Watches,5
281,21.999907,14.724871,-14.842584,4,Home Furnishing,6
282,0.7637776,6.5016003,-27.279608,0,Baby Care,2
283,4.7579308,-19.628588,29.867449,6,Watches,5
284,24.437729,-18.179249,-5.2630386,3,Home Decor & Festive Needs,3
285,-0.67280865,-21.108534,27.984686,6,Watches,5
286,10.9595,15.637594,19.843655,6,Watches,0
287,-8.668717,20.197618,-26.65114,4,Home Furnishing,2
288,12.090622,2.3357978,-25.468573,0,Baby Care,2
289,26.006056,-15.866048,-5.67989,3,Home Decor & Festive Needs,6
290,28.022066,3.3514473,-20.469997,3,Home Decor & Festive Needs,6
291,2.8072438,-8.457184,-26.94513,0,Baby Care,2
292,16.640882,-0.53100455,-29.642302,0,Baby Care,2
293,7.0067234,-7.631634,-30.130167,0,Baby Care,2
294,18.236326,1.356834,-28.900173,0,Baby Care,2
295,-9.571345,17.11346,-3.6765344,5,Kitchen & Dining,0
296,-21.81412,-1.8463424,-8.254425,2,Computers,4
297,-4.752344,1.3939967,-41.902573,0,Baby Care,2
298,-21.096575,-7.3511124,-17.921417,5,Kitchen & Dining,4
299,20.212332,-7.0550075,3.1194656,3,Home Decor & Festive Needs,6
300,4.475668,-7.7122355,-6.3785853,5,Kitchen & Dining,3
301,-11.257883,4.6771884,6.7684026,1,Beauty and Personal Care,1
302,13.866904,-6.5488563,5.765864,3,Home Decor & Festive Needs,6
303,12.070248,-1.4684016,-0.47110295,3,Home Decor & Festive Needs,6
304,12.397803,-10.387551,-6.4145737,3,Home Decor & Festive Needs,3
305,20.522484,3.085497,-5.7825723,3,Home Decor & Festive Needs,6
306,20.298565,-11.273721,5.787521,3,Home Decor & Festive Needs,6
307,24.894997,-6.290798,-12.683927,3,Home Decor & Festive Needs,6
308,19.71595,-8.398279,7.6735625,3,Home Decor & Festive Needs,6
309,16.103485,7.978802,-12.5761175,3,Home Decor & Festive Needs,6
310,-15.650841,3.1627538,20.879982,2,Computers,1
311,-4.95315,21.892525,19.832281,1,Beauty and Personal Care,0
312,-11.831237,-3.100914,17.756018,2,Computers,1
313,-9.729882,30.340342,21.085566,1,Beauty and Personal Care,0
314,-11.195428,17.132269,23.02119,1,Beauty and Personal Care,0
315,-1.0193859,31.42986,10.679169,1,Beauty and Personal Care,0
316,-3.2709928,22.414223,21.572598,1,Beauty and Personal Care,0
317,-1.014259,23.487196,7.170233,1,Beauty and Personal Care,0
318,-17.217892,6.673858,26.493837,2,Computers,1
319,1.9827592,26.079243,14.966852,1,Beauty and Personal Care,0
320,0.34948027,17.992865,10.055577,1,Beauty and Personal Care,0
321,-15.53963,-0.9059178,17.646618,2,Computers,1
322,-2.2709315,16.611685,3.0506563,1,Beauty and Personal Care,0
323,-8.214493,2.5802526,22.28613,2,Computers,1
324,-16.166904,1.9670885,9.200682,2,Computers,1
325,-13.624337,16.833635,16.789995,1,Beauty and Personal Care,0
326,-7.2545104,-3.6306376,14.221592,2,Computers,1
327,-12.246343,5.061187,15.188017,2,Computers,1
328,-8.152773,30.388887,18.962097,1,Beauty and Personal Care,0
329,-11.247549,4.790354,21.419603,2,Computers,1
330,-12.735625,5.8922033,27.210564,2,Computers,1
331,4.8482413,21.77744,21.090023,1,Beauty and Personal Care,0
332,-9.474345,-6.468468,17.734148,2,Computers,1
333,-15.3741865,-4.442977,21.535706,2,Computers,1
334,-3.2791061,27.729153,14.890717,1,Beauty and Personal Care,0
335,-15.530063,7.1104755,12.270884,2,Computers,1
336,-18.45133,2.0157542,22.075638,2,Computers,1
337,-3.3943892,18.71024,8.31938,1,Beauty and Personal Care,0
338,-5.635376,16.071915,17.252996,1,Beauty and Personal Care,0
339,-14.205656,2.4315124,14.39183,2,Computers,1
340,0.38790852,10.920847,5.4782624,1,Beauty and Personal Care,0
341,-16.080326,3.5134306,24.453932,2,Computers,1
342,-2.5139086,23.21324,14.919054,1,Beauty and Personal Care,0
343,-18.357008,6.409475,19.971802,2,Computers,1
344,-10.253905,17.464346,16.596197,1,Beauty and Personal Care,0
345,-18.422258,-2.1432931,11.512958,2,Computers,1
346,-9.60214,14.541204,9.336626,1,Beauty and Personal Care,0
347,-10.07238,22.00942,17.052515,1,Beauty and Personal Care,0
348,-10.639537,-0.098706804,16.712301,2,Computers,1
349,-17.217274,0.5088205,14.118025,2,Computers,1
350,-14.416656,1.6638335,26.175262,2,Computers,1
351,-13.565099,-0.05400277,15.28105,2,Computers,1
352,-17.143719,3.6662776,16.225348,2,Computers,1
353,-13.773268,7.3219285,23.626053,2,Computers,1
